Supply_Are,Substation,Substati_1,Transforme,NoOfTrfrs,TrfrSizeMV,InstalledT,LightLoad,GxAtLightL,YearOfTrfr,UpgradeSta,NoOfTrfrs2,TrfrSize_1,Installe_1,REIPPPGenA,MVLimitLL2,HVLimitLL2,HVAreaLimi,CLNLimitLL,MVLimitMDL,HVLimitMDL,HVAreaLi_1,CLNLimitMD,Status
Lephalale,Spitskop,Spitskop 275/88,275/88,2,315,630,92.0,0.0,-,-,2,315,630,-,709.4,2150.0,2150.0,2900,709.4,2150.0,650.0,2900,Existing
Lephalale,Spitskop,Spitskop 400/132,400/132,2,500,1000,128.0,0.0,-,-,3,500,1500,-,1598.0,4050.0,5375.0,#REF!,1598,2200.0,650.0,2850,Existing
Lephalale,Spitskop,Spitskop 400/275,400/275,2,800,1600,0.0,0.0,-,-,2,800,1600,-,1568.0,4050.0,5375.0,2900,1568,2200.0,650.0,2850,Existing
Lephalale,Warmbad,Warmbad 275/132,275/132,2,125,250,5.0,0.0,-,-,2,125,250,-,250.0,750.0,750.0,2900,250,750.0,750.0,2850,Existing
Lowveld,Gumeni,Gumeni 400/132,400/132,2,500,1000,25.0,0.0,,,2,500,1000,-,1005.0,2300.0,2300.0,2300,1005,0.0,0.0,5350,Existing
Lowveld,Khanyazwe,Khanyazwe 275/132,275/132,1,250,250,10.45,0.0,-,-,1,250,250,-,255.45,800.0,800.0,2300,255.45,0.0,0.0,5350,Existing
Lowveld,Komatipoort,Komatipoort 275/132,275/132,2,125,250,37.0,0.0,-,-,2,125,250,-,282.0,750.0,750.0,2300,282,0.0,0.0,5350,Existing
Lowveld,Marathon,Marathon 132/66,132/66,2,40,80,25.0,0.0,-,-,2,40,80,-,103.4,103.4,103.4,2300,103.4,0.0,0.0,5350,Existing
Lowveld,Marathon,Marathon 275/132,275/132,2,500,1000,88.0,0.0,-,-,2,500,1000,25,1068.0,1850.0,1850.0,2300,1068,0.0,0.0,5350,Existing
Lowveld,Prairie,Prairie 275/132,275/132,2,240,480,9.0,0.0,-,,2,240,480,6.76,479.4,1550.0,1550.0,2300,479.4,0.0,0.0,5350,Existing
Lowveld,Simplon,Simplon 275/132,275/132,2,250,500,40.0,0.0,-,-,2,250,500,-,530.0,1000.0,1000.0,2300,530,0.0,0.0,5350,Existing
Middelburg,Rockdale,Rockdale 132/88,132/88,1,80,80,16.0,0.0,-,,1,80,80,-,94.4,94.4,94.4,1050,94.4,94.4,94.4,1350,Existing
Middelburg,Rockdale,Rockdale 132/88,132/88,3,30,90,16.0,0.0,,,3,30,90,-,104.2,104.2,104.2,1050,94.4,94.4,94.4,1350,Existing
Middelburg,Rockdale,Rockdale 275/132,275/132,2,500,1000,16.0,0.0,-,-,2,500,1000,-,996.0,500.0,500.0,1050,996,500.0,500.0,1350,Existing
Namaqualand,Aggeneis,Aggeneis 220/66,220/66,2,40,80,23.0,68.35,-,-,2,40,80,40,33.05,600.0,950.0,1425,33.05,600.0,950.0,1425,Existing
Namaqualand,Aggeneis,Aggeneis 400/220,400/220,2,315,630,23.0,0.0,-,-,2,315,630,471.35,640.4,550.0,550.0,1425,640.4,550.0,550.0,1425,Existing
Namaqualand,Aries,Aries 400/22,400/22,1,45,45,0.0,0.0,-,-,1,45,45,9.65,44.1,1425.0,1425.0,1425,44.1,1425.0,1425.0,1425,Existing
Namaqualand,Gromis,Gromis 220/66,220/66,2,40,80,1.0,0.0,-,-,2,40,80,-,79.4,400.0,400.0,1425,79.4,400.0,400.0,1425,Existing
Namaqualand,Gromis,Gromis 400/220,400/220,0,0,0,1.0,0.0,2020,Proposed,1,315,315,-,309.7,700.0,700.0,1425,309.7,700.0,700.0,1425,Existing
Namaqualand,Nama,Nama 220/66,220/66,2,80,160,5.0,50.0,-,-,2,80,160,-,111.8,175.0,350.0,1425,111.8,175.0,350.0,1425,Existing
Namaqualand,Oranjemond,Oranjemond 220/66,220/66,2,80,160,0.0,0.0,-,-,2,80,160,-,156.8,700.0,700.0,1425,156.8,700.0,700.0,1425,Existing
Namaqualand,Paulputs,Paulputs 132/33,132/33,1,10,10,3.0,0.0,-,-,1,10,10,10,12.8,12.8,12.8,1425,12.8,12.8,12.8,1425,Existing
Namaqualand,Paulputs,Paulputs 220/132,220/132,1,125,125,3.0,0.0,-,-,1,125,125,119.65,125.5,425.0,450.0,1425,125.5,425.0,450.0,1425,Existing
Namaqualand,Paulputs,Paulputs 220/132,220/132,1,250,250,3.0,0.0,2020,Proposed,2,250,500,-,493.0,425.0,450.0,1425,125.5,425.0,450.0,1425,Existing
Newcastle,Bloedrivier,Bloedrivier 275/88,275/88,2,160,320,0.0,0.0,-,-,2,160,320,-,313.6,750.0,750.0,2800,313.6,850.0,850.0,4350,Existing
Newcastle,Chivelston,Chivelston 400/275,400/275,1,800,800,0.0,0.0,-,-,1,800,800,-,784.0,2700.0,2700.0,2800,784,2050.0,2050.0,4350,Existing
Newcastle,Incandu,Incandu 400/132,400/132,1,500,500,133.0,0.0,-,-,1,500,500,-,623.0,1800.0,1900.0,2800,623,1800.0,1800.0,4350,Existing
Newcastle,Incandu,Incandu 400/132,400/132,2,315,630,133.0,0.0,-,-,2,315,630,-,750.4,1800.0,1900.0,2800,623,1800.0,1800.0,4350,Existing
Newcastle,Ingagane,Ingagane 275/88,275/88,2,160,320,0.0,0.0,-,-,2,160,320,-,313.6,1250.0,1250.0,2800,313.6,1700.0,1700.0,4350,Existing
Highveld South,Normandie,Normandie 132/88,132/88,1,160,160,38.0,0.0,-,-,1,160,160,-,194.8,1650.0,1650.0,3150,194.8,2425.0,2425.0,5350,Existing
Highveld South,Normandie,Normandie 400/88,400/88,2,160,320,38.0,0.0,-,-,2,160,320,-,351.6,4450.0,4450.0,3150,351.6,0.0,0.0,5350,Existing
Highveld South,Normandie,Normandie 400/132,400/132,2,250,500,38.0,0.0,-,-,2,250,500,-,528.0,4450.0,4450.0,2800,528,0.0,0.0,5350,Existing
Newcastle,Umfolozi,Umfolozi 400/88,400/88,2,160,320,38.0,0.0,-,-,2,160,320,-,351.6,4450.0,4450.0,2800,351.6,4675.0,4675.0,2800,Existing
